generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,3,1
3000,1,2,1
4000,1,2,1
5000,2,3,1
6000,2,3,1
7000,1,3,1
8000,1,2,1
9000,2,3,1
10000,1,3,1
11000,1,2,1
12000,1,2,1
13000,1,3,1
14000,1,3,1
15000,1,3,1
16000,1,2,1
17000,2,3,1
18000,2,3,1
19000,1,2,1
20000,1,3,1
21000,1,2,1
22000,1,2,0
23000,1,3,1
24000,2,3,1
25000,1,2,1
26000,1,3,1
27000,1,3,1
28000,1,2,1
29000,1,2,1
30000,1,3,1
31000,2,3,1
32000,1,3,1
33000,1,3,0
34000,1,2,1
35000,1,2,1
36000,1,2,1
37000,2,3,1
38000,2,3,1
39000,1,3,1
40000,2,3,1
41000,1,3,1
42000,1,3,1
43000,1,2,1
44000,1,3,1
45000,1,3,0
46000,2,3,0
47000,1,3,0
48000,1,2,1
49000,1,2,1
50000,1,2,1
51000,2,3,1
52000,1,3,1
53000,1,2,1
54000,2,3,1
55000,1,3,1
56000,1,2,1
57000,1,3,1
58000,1,3,1
59000,1,3,1
60000,2,3,1
61000,2,3,1
62000,1,2,1
63000,2,3,1
64000,1,3,1
65000,1,2,1
66000,2,3,1
67000,1,3,1
68000,1,3,1
69000,2,3,1
70000,2,3,1
71000,2,3,0
72000,2,3,0
73000,2,3,1
74000,1,3,1
75000,2,3,1
76000,1,2,1
77000,2,3,0
78000,1,3,1
79000,1,3,1
80000,1,3,0
81000,2,3,0
82000,1,3,0
83000,1,3,1
84000,1,2,1
85000,1,3,1
86000,1,2,1
87000,2,3,1
88000,1,3,1
89000,1,3,0
90000,1,2,1
91000,1,2,1
92000,2,3,0
93000,2,3,0
94000,1,3,1
95000,1,2,1
96000,1,2,1
97000,2,3,0
98000,1,3,1
99000,1,3,0
100000,2,3,0
101000,2,3,0
102000,1,3,0
103000,1,2,1
104000,1,3,0
105000,1,2,1
106000,1,3,1
107000,1,2,1
108000,1,3,0
109000,2,3,1
110000,1,2,1
111000,1,3,0
112000,1,3,0
113000,1,3,1
114000,1,2,1
115000,2,3,1
116000,2,3,1
117000,2,3,1
118000,1,2,1
119000,1,3,0
120000,2,3,0
121000,1,3,0
122000,1,2,1
123000,1,3,0
124000,1,3,0
125000,1,3,0
126000,1,2,1
127000,1,2,1
128000,1,3,0
129000,2,3,1
130000,2,3,1
131000,1,2,1
132000,2,3,0
133000,1,3,0
134000,1,3,0
135000,1,2,1
136000,1,2,0
137000,1,3,0
138000,2,3,1
139000,1,3,0
140000,1,3,1
141000,1,3,1
142000,1,3,0
143000,2,3,1
144000,1,2,0
145000,1,3,0
146000,1,3,0
147000,1,3,0
148000,2,3,1
149000,2,3,1
150000,1,3,0
151000,1,2,1
152000,1,2,1
153000,2,3,1
154000,2,3,1
155000,1,2,0
156000,1,3,1
157000,1,3,1
158000,1,3,0
159000,1,3,1
160000,2,3,1
161000,1,3,1
162000,1,2,1
163000,1,2,0
164000,2,3,1
165000,1,2,0
166000,2,3,1
167000,2,3,0
168000,1,3,1
169000,1,2,1
170000,1,2,0
171000,1,2,1
172000,2,3,1
173000,1,3,1
174000,1,3,1
175000,1,3,1
176000,1,2,1
177000,2,3,1
178000,1,2,1
179000,1,2,1
180000,1,3,1
181000,2,3,1
182000,1,2,1
183000,2,3,1
184000,2,3,1
185000,1,3,0
186000,1,3,1
187000,1,2,1
188000,2,3,1
189000,1,3,0
190000,2,3,1
191000,1,2,0
192000,1,2,0
193000,1,3,1
194000,1,3,1
195000,2,3,1
196000,1,3,0
197000,2,3,1
198000,2,3,1
199000,1,3,0
200000,2,3,0
201000,2,3,1
202000,1,2,0
203000,2,3,1
204000,2,3,1
205000,1,3,1
206000,1,3,1
207000,2,3,1
208000,2,3,0
209000,1,2,1
210000,1,2,1
211000,2,3,0
212000,1,2,1
213000,1,2,1
214000,1,3,0
215000,1,2,1
216000,1,3,1
217000,2,3,1
218000,2,3,1
219000,1,2,1
220000,1,2,1
221000,1,2,1
222000,1,3,1
223000,1,2,1
224000,1,2,1
225000,1,3,0
226000,1,2,1
227000,2,3,0
228000,1,2,1
229000,2,3,1
230000,2,3,1
231000,1,3,1
232000,1,3,1
233000,1,2,1
234000,2,3,0
235000,2,3,0
236000,1,3,1
237000,1,2,1
238000,1,3,0
239000,1,3,0
240000,2,3,1
241000,1,2,0
242000,1,3,0
243000,1,3,0
244000,1,2,0
245000,2,3,1
246000,2,3,1
247000,1,3,0
248000,1,3,0
249000,2,3,1
250000,1,3,0
251000,1,3,0
252000,1,3,0
253000,1,2,0
254000,1,2,0
255000,1,3,0
256000,2,3,1
257000,2,3,1
258000,2,3,1
259000,1,2,1
260000,1,3,1
261000,2,3,0
262000,1,3,0
263000,2,3,1
264000,1,3,1
265000,1,3,0
266000,1,2,0
267000,1,2,0
268000,1,3,0
269000,1,3,1
270000,1,2,0
271000,2,3,1
272000,1,2,1
273000,2,3,0
274000,2,3,1
275000,2,3,1
276000,1,2,1
277000,2,3,1
278000,2,3,1
