generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,2,1
3000,1,2,1
4000,1,3,1
5000,1,3,1
6000,2,3,1
7000,1,3,1
8000,1,2,1
9000,1,3,1
10000,2,3,1
11000,1,2,1
12000,1,3,1
13000,1,2,1
14000,2,3,1
15000,1,3,1
16000,1,2,1
17000,1,3,1
18000,1,3,1
19000,1,2,1
20000,1,3,1
21000,1,2,0
22000,1,3,1
23000,1,2,1
24000,2,3,1
25000,2,3,1
26000,1,2,1
27000,2,3,1
28000,1,3,1
29000,1,2,1
30000,2,3,1
31000,1,2,1
32000,1,2,1
33000,1,3,1
34000,1,2,1
35000,2,3,1
36000,1,2,1
37000,1,2,1
38000,1,2,1
39000,1,2,1
40000,1,2,1
41000,2,3,1
42000,1,3,1
43000,1,3,1
44000,1,2,1
45000,1,3,1
46000,2,3,1
47000,1,2,1
48000,1,2,1
49000,2,3,1
50000,2,3,1
51000,2,3,1
52000,1,2,1
53000,1,3,1
54000,2,3,1
55000,2,3,1
56000,2,3,1
57000,1,2,1
58000,2,3,1
59000,1,2,1
60000,2,3,1
61000,2,3,1
62000,1,3,1
63000,1,3,1
64000,1,2,1
65000,1,3,1
66000,1,2,1
67000,1,2,1
68000,2,3,1
69000,1,3,1
70000,2,3,1
71000,1,3,1
72000,2,3,1
73000,2,3,1
74000,1,3,0
75000,2,3,1
76000,1,2,1
77000,2,3,1
78000,1,2,1
79000,1,3,0
80000,1,3,1
81000,2,3,1
82000,1,3,1
83000,2,3,1
84000,1,2,1
85000,1,2,1
86000,2,3,1
87000,2,3,1
88000,1,2,1
89000,1,3,1
90000,1,3,1
91000,1,2,1
92000,1,2,1
93000,2,3,1
94000,1,3,1
95000,2,3,1
96000,1,3,1
97000,1,2,1
98000,1,2,1
99000,1,3,1
100000,1,3,1
101000,1,2,1
102000,1,3,1
103000,1,3,1
104000,2,3,1
105000,2,3,1
106000,2,3,1
107000,1,2,1
108000,2,3,1
109000,2,3,1
110000,1,2,1
111000,2,3,1
112000,2,3,1
113000,2,3,1
114000,1,3,1
115000,1,3,1
116000,1,3,1
117000,1,2,0
118000,1,2,1
